model,mode,spread,mode_conv,spread_conv,deviance,dof,mode_se,spread_se
norm.sca,18.679135397221454,5.974895180446431,18.679135397221454,5.974895180446431,63.106787959295524,29,0.6266258976975506,0.2291998851485773
norm.loc,19.703428926855906,4.951510775460713,19.703428926855906,4.951510775460713,68.54240011968443,29,0.38095210703467247,0.12365082607962284
lognorm,3.039134580194781,0.20785028278533996,20.00401173403333,4.484547125294651,80.1632134448366,29,0.319094919643158,0.12273159419894521
