model,s100,sigma,s100_conv,sigma_conv,deviance,dof,s100_se,sigma_se
norm.loc,124.064447485025,56.33085970901658,124.064447485025,56.33085970901658,61.977810153065995,28,86.91548555643385,45.06520019350321
norm.sca,54.99791444640331,12.289693494147745,54.99791444640331,12.289693494147745,69.87755750500116,28,6.3580097509003455,1.4854442736423823
