model,s100,sigma,s100_conv,sigma_conv,deviance,dof,s100_se,sigma_se
lognorm,3.8119115546895714,0.3924197206772181,38.780530036976984,19.93500295234736,34.047581749802355,38,1.1511193788374743,3.31337217585937
norm.loc,38.056657578130086,19.405208500023523,38.056657578130086,19.405208500023523,35.46673311349943,38,1.237580041479499,2.1606159867857824
norm.sca,39.3263470152216,18.68699181087397,39.3263470152216,18.68699181087397,38.8820055525217,38,1.7725546971343644,2.669568415165009
