model,s100,sigma,s100_conv,sigma_conv,deviance,dof,s100_se,sigma_se
lognorm,4.039938147405068,0.4217702417577799,47.56266052136579,27.4048575630612,181.40963571426806,68,1.9138547269967248,2.81246636238219
norm.loc,46.789312258375126,21.35223694620446,46.789312258375126,21.35223694620446,182.1702892586578,68,1.4096185237305376,1.1290775154446797
norm.sca,52.062892441254974,14.85205132385582,52.062892441254974,14.85205132385582,238.34007899783444,68,1.1063382024033053,0.446992902329194
